,id,country_id,name,teams_number,market_value,players_number,avg_age,foreigners
0,2015,189,Premier League,20,19480000.0,535,27.1,367
1,2016,189,Premier League,20,19480000.0,535,27.1,367
2,2017,189,Premier League,20,19480000.0,535,27.1,367
3,2018,189,Premier League,20,19480000.0,535,27.1,367
4,2019,189,Premier League,20,19480000.0,535,27.1,367
5,2020,189,Premier League,20,19480000.0,535,27.1,367
6,2021,189,Premier League,20,19480000.0,535,27.1,367
7,2015,40,Bundesliga,18,8340000.0,519,26.2,274
8,2016,40,Bundesliga,18,8340000.0,519,26.2,274
9,2017,40,Bundesliga,18,8340000.0,519,26.2,274
10,2018,40,Bundesliga,18,8340000.0,519,26.2,274
11,2019,40,Bundesliga,18,8340000.0,519,26.2,274
12,2020,40,Bundesliga,18,8340000.0,519,26.2,274
13,2021,40,Bundesliga,18,8340000.0,519,26.2,274
14,2015,75,Serie A,20,8260000.0,560,26.7,351
15,2016,75,Serie A,20,8260000.0,560,26.7,351
16,2017,75,Serie A,20,8260000.0,560,26.7,351
17,2018,75,Serie A,20,8260000.0,560,26.7,351
18,2019,75,Serie A,20,8260000.0,560,26.7,351
19,2020,75,Serie A,20,8260000.0,560,26.7,351
20,2021,75,Serie A,20,8260000.0,560,26.7,351
21,2015,50,Ligue 1,20,6650000.0,537,26.0,297
22,2016,50,Ligue 1,20,6650000.0,537,26.0,297
23,2017,50,Ligue 1,20,6650000.0,537,26.0,297
24,2018,50,Ligue 1,20,6650000.0,537,26.0,297
25,2019,50,Ligue 1,20,6650000.0,537,26.0,297
26,2020,50,Ligue 1,20,6650000.0,537,26.0,297
27,2021,50,Ligue 1,20,6650000.0,537,26.0,297
28,2015,157,LaLiga,20,9650000.0,496,27.9,208
29,2016,157,LaLiga,20,9650000.0,496,27.9,208
30,2017,157,LaLiga,20,9650000.0,496,27.9,208
31,2018,157,LaLiga,20,9650000.0,496,27.9,208
32,2019,157,LaLiga,20,9650000.0,496,27.9,208
33,2020,157,LaLiga,20,9650000.0,496,27.9,208
34,2021,157,LaLiga,20,9650000.0,496,27.9,208
